customer_id,customer_name,customer_email,customer_phone,customer_segment,customer_type
CUST1000,Veronica Smith,ywilkinson@lee.info,843-379-7662x7051,Adult,Returning
CUST1001,Jill Conway,wilsonrachel@hotmail.com,579-423-8736,Youth,New
CUST1002,Lisa Haley,cruiz@hotmail.com,042.549.6919x2845,Adult,Returning
CUST1003,Erica Moon,kennethgallegos@williams-smith.biz,001-525-971-0756x3353,Adult,Returning
CUST1004,Janice Fernandez,mmclaughlin@hotmail.com,748-595-3259x39933,Adult,Returning
CUST1005,Thomas Short,freemantodd@hotmail.com,970.581.6295x1877,Adult,VIP
CUST1006,Robert Griffin,jenniferrice@yahoo.com,+1-417-634-2507x330,Adult,Returning
CUST1007,Steven Lee,adamsdeborah@yahoo.com,597-824-5759x83399,Youth,Returning
CUST1008,Tiffany Jackson,pdean@west-graham.com,403-884-3660,Youth,Returning
CUST1009,Kimberly Smith,taylorkim@hotmail.com,432-400-6157x2768,Adult,Returning
CUST1010,Michael Ayala,sandra72@sharp-myers.biz,(975)147-4397,Adult,New
CUST1011,Jessica Garcia,kmarsh@hotmail.com,292-501-0587x5256,Youth,VIP
CUST1012,Michele Cherry,hannah17@thompson.org,+1-065-625-9045,Senior,Returning
CUST1013,Maria Case,leonsherry@yahoo.com,001-908-027-1122,Adult,New
CUST1014,Brittany Stevens,jasonwilliams@gmail.com,823-155-5165,Adult,New
CUST1015,Brandon Brown,michael22@hotmail.com,001-176-808-6628x13721,Senior,Returning
CUST1016,Kristin Andrews,morgandaniel@martinez.info,001-433-080-0370x03322,Youth,VIP
CUST1017,David Hughes,kristen08@yahoo.com,556.608.4706x81039,Senior,VIP
CUST1018,Jessica Smith,mccarthysara@lloyd-estes.com,3397051958,Youth,VIP
CUST1019,Kimberly May,colonbobby@jackson.com,(632)809-4485,Adult,Returning
CUST1020,Nicole Richards,jessicaerickson@hotmail.com,623.945.3546x14707,Senior,New
CUST1021,Angel Reilly,mooremichael@gmail.com,+1-863-210-6133x943,Senior,VIP
CUST1022,Richard Turner,scottperry@sanchez.com,001-457-039-4380,Adult,VIP
CUST1023,Preston Kim,christopherwatson@yahoo.com,032-537-6576x9277,Adult,VIP
CUST1024,Matthew Wells,edwardmolina@yahoo.com,+1-943-191-0090,Adult,New
CUST1025,Brandy Myers,lauriegutierrez@villanueva-crane.net,4047692105,Youth,New
CUST1026,Kimberly Choi,ramoskayla@hotmail.com,365.146.0401,Senior,Returning
CUST1027,Michael Sloan,morganrichard@hamilton.com,247-310-7201x1379,Youth,New
CUST1028,Monica Brooks,levinetina@liu.net,001-844-097-1231x660,Senior,New
CUST1029,Kristen Peters,regina04@hotmail.com,7676209014,Youth,Returning
CUST1030,Aaron Carlson,ngriffin@weber.com,001-473-404-3370x096,Youth,New
CUST1031,Theresa Torres,nicolemiller@hotmail.com,+1-730-451-9577,Senior,New
CUST1032,Stephanie Cooper,vhardy@gmail.com,+1-255-882-5562,Senior,Returning
CUST1033,Matthew Hunt,christopherarnold@hotmail.com,001-657-542-7865,Senior,New
CUST1034,Daniel Davenport,andrewzamora@hotmail.com,(194)255-7782x05829,Youth,VIP
CUST1035,Christopher Marsh,marilyntorres@yahoo.com,829-236-1618x80819,Senior,Returning
CUST1036,Sarah Randolph,skinnerjordan@gomez.com,4823571558,Senior,Returning
CUST1037,Julia Dunn MD,ashley07@yahoo.com,(863)956-1372x3081,Senior,VIP
CUST1038,Brett Swanson,michaelmitchell@armstrong.com,214.364.3813x0004,Adult,New
CUST1039,Mr. Carl Rios,zachary35@garcia-dawson.biz,321-147-1656,Youth,New
CUST1040,Manuel Mccullough,brownpamela@lewis-miller.net,9456534699,Adult,Returning
CUST1041,Jerry Jensen,lwiggins@yahoo.com,990.707.5504x7681,Senior,New
CUST1042,Kevin Cunningham,fbarker@hotmail.com,(995)706-0717x48113,Youth,New
CUST1043,Eugene Patterson,drewmartinez@hotmail.com,001-176-539-7054x8739,Youth,Returning
CUST1044,David Walker,tammypalmer@hotmail.com,(102)908-7182x74968,Senior,New
CUST1045,Jessica Larsen,stanleyjohnson@raymond.com,+1-049-187-2742x0495,Senior,Returning
CUST1046,Nicholas Humphrey,martinezashley@gmail.com,(121)377-3062x60423,Adult,New
CUST1047,Ian Torres,watsonvickie@carter-johnson.com,973-711-2229x90775,Senior,VIP
CUST1048,Casey Obrien,twilliams@lewis-fuentes.info,001-608-581-6704x686,Youth,VIP
CUST1049,Shannon Taylor,kelleycarlos@butler.com,114-576-8321,Adult,VIP
CUST1050,Deborah Mercado,kimberly79@gmail.com,2192378584,Youth,VIP
CUST1051,Bernard Smith,qgill@hernandez-luna.com,129.618.0332x4260,Senior,New
CUST1052,Amanda Perkins,zhall@yahoo.com,(080)184-9804x253,Senior,New
CUST1053,Kevin Escobar,pfitzgerald@cline.com,337.773.1268x8122,Senior,Returning
CUST1054,Kimberly Lutz,schneiderchristopher@hotmail.com,217.819.2365x34606,Adult,New
CUST1055,Reginald Diaz,karenshaw@martinez.com,5603567932,Senior,VIP
CUST1056,Raymond Quinn,kristin39@miller-ferguson.com,986.239.8471x6906,Senior,Returning
CUST1057,John Dixon,henrysarah@yahoo.com,812-054-6475,Youth,Returning
CUST1058,Jonathan Bates,robertheath@yahoo.com,895-478-7698x9992,Youth,New
CUST1059,Renee Mendez,christopher18@gmail.com,517.588.9144x4498,Adult,VIP
CUST1060,Jose Griffin,iantate@gmail.com,553.935.4358,Adult,New
CUST1061,Travis Hopkins,dgregory@hotmail.com,+1-644-963-9243x58853,Senior,VIP
CUST1062,Nancy Webb,anthonybrown@yahoo.com,982.143.3952x753,Youth,Returning
CUST1063,Daniel Freeman,douglas54@david-lam.com,(749)785-2491x4168,Youth,VIP
CUST1064,Jacob Williams,karenwillis@romero-gordon.com,(013)477-8948x9634,Adult,New
CUST1065,Terry Ward,floresangela@gmail.com,6791766512,Senior,VIP
CUST1066,Jesse Williams,russelljesus@gmail.com,(150)014-1884,Youth,VIP
CUST1067,Mrs. Michele Boyd,sanchezangela@gmail.com,(163)090-0159,Adult,Returning
CUST1068,Sandy Baker,ogriffin@hotmail.com,001-446-333-9994x8532,Youth,New
CUST1069,Carrie Valdez,nathanielgalloway@medina.net,8953263890,Adult,VIP
CUST1070,Matthew Houston,smithsteven@hotmail.com,(199)471-1363,Youth,Returning
CUST1071,Jamie Solomon,aaronmahoney@yahoo.com,792.234.1034,Youth,Returning
