location_id,address,city,state,zip_code,country
LOC1,8611 Serrano Lights Suite 598,Jacobsville,NU,V8M 3C9,Canada
LOC2,326 Thomas Canyon,South Garyton,NS,E0A 9B0,Canada
LOC3,58353 Kelly Plains Apt. 956,Port Stephanieborough,AB,L0M 7R9,Canada
LOC4,2853 Crane Gateway Apt. 426,East Lisaburgh,BC,H1B 5J3,Canada
LOC5,217 Rogers Cape Apt. 584,Curtischester,QC,S5C 4S0,Canada
LOC6,8793 Lisa Trail Apt. 028,West Jacqueline,ON,M0E 4G4,Canada
LOC7,27276 Watkins Valleys Apt. 451,Coxfort,NS,T3E 0V2,Canada
LOC8,025 Nancy Land Suite 613,Virginiamouth,NU,A1C 3T9,Canada
LOC9,730 Martinez Stravenue,Hensonland,QC,Y4L 0V1,Canada
LOC10,738 Stephanie Underpass,Kevinstad,NT,G3C 6R0,Canada
LOC11,7118 Taylor Crossroad Suite 863,Gregoryfort,AB,B7S 7S2,Canada
LOC12,007 Dwayne Causeway,Brandonfurt,AB,A9B 1L4,Canada
LOC13,423 Leonard Overpass,Mccormickstad,NU,V3L 0L3,Canada
LOC14,057 Duke Court,Jonstad,PE,K7A 0S8,Canada
LOC15,99716 Mckinney Mews Suite 667,West Mark,NT,V3B 4P1,Canada
LOC16,0996 James Tunnel Suite 009,West Oscarchester,NT,P7V 8H5,Canada
LOC17,24265 Kimberly Road Apt. 221,Gomezhaven,MB,P8Y 2N5,Canada
LOC18,3907 Michael Haven,Lake Julie,NT,S2R 5T5,Canada
LOC19,360 Matthew Turnpike Apt. 150,Williamport,YT,M2V 8S5,Canada
LOC20,16260 William Dale,Lake Shelby,AB,S1L 2N5,Canada
LOC21,8934 Browning Rapid Suite 833,Dianachester,PE,T7Y 2B5,Canada
LOC22,8835 Kline Rapid Apt. 149,Port Robert,MB,X2N 8H9,Canada
LOC23,9146 Tara Station Suite 643,Lewisfurt,SK,G3R 1S1,Canada
LOC24,31726 Diaz Tunnel,Zacharybury,NB,X8B 8E9,Canada
LOC25,6854 Vanessa Parks,North Michelle,ON,A4Y 2K5,Canada
LOC26,0002 Amy Shores,Kennedyhaven,YT,V1N 5Y6,Canada
LOC27,46051 Anita Junction,Smithhaven,YT,X6K 9P6,Canada
LOC28,27163 Natasha Square Apt. 356,Johnchester,AB,E3T 2J0,Canada
LOC29,9301 Brian Camp,Lake Maria,PE,X1V 2C4,Canada
LOC30,993 Angela Pike,Kevinchester,MB,K6M 3Y1,Canada
LOC31,048 Glenn Row,Michelleton,AB,J0A 0M1,Canada
LOC32,4158 Colleen Causeway,Andrewport,NL,J2C 1L7,Canada
LOC33,43766 John Mall,Laurenstad,ON,E6P 6A9,Canada
LOC34,80812 Emily Meadow Apt. 594,New Gregoryview,MB,M5R 5J4,Canada
LOC35,470 Pruitt Forges Apt. 105,Fordtown,ON,S9V 9B7,Canada
LOC36,309 Crawford Flats,South Jamesburgh,AB,B7N 5A4,Canada
LOC37,842 Angela Crossing Suite 269,New Brandon,BC,V6Y 1S9,Canada
LOC38,6501 Burnett Meadow,Griffinfort,SK,P7A 6B7,Canada
LOC39,187 Sanders Crossroad Apt. 636,Port Teresa,AB,C7L 8C1,Canada
LOC40,16276 Brittany Ferry Suite 667,Josephstad,NB,K1T 6N3,Canada
LOC41,376 Stefanie Viaduct,East Annatown,NT,V0N 4Y7,Canada
LOC42,28989 Steven Prairie Apt. 598,South Devinside,NS,J9S 1A2,Canada
LOC43,55977 Hernandez Islands,Danielton,NT,A8T 1X2,Canada
LOC44,4083 Moyer Place Apt. 501,Lake Heidi,SK,T4R 8B4,Canada
LOC45,71657 Ashley View Apt. 956,West Victoriatown,NB,E8V 2T4,Canada
LOC46,88711 Fox Canyon Apt. 500,New Clinton,NS,H0M 9N6,Canada
LOC47,4928 Hoffman Overpass,West Jeremy,PE,E2C 3V7,Canada
LOC48,703 Kim Radial Apt. 011,East Reginaview,NU,K0R 2R0,Canada
LOC49,0186 Trevor Extension,Port Jeffrey,BC,M2K 5V3,Canada
LOC50,9522 Jeremy Field,Olivermouth,NB,T1E 2G2,Canada
